id,gender,has_car_and_property,income_type,family_status,housing_type,occupation_type,amount_income_total
5169560,Female,1,Working,Married,House / apartment,Sales staff,90000.0
6297619,Male,1,Commercial associate,Single / not married,Rented apartment,High skill tech staff,360000.0
5548993,Female,1,Commercial associate,Married,House / apartment,Core staff,405000.0
5344333,Female,1,Working,Married,House / apartment,Medicine staff,135000.0
5499766,Female,1,Working,Civil marriage,House / apartment,Core staff,225000.0
6249107,Female,1,Working,Married,House / apartment,High skill tech staff,270000.0
6782846,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,225000.0
5022329,Male,1,Commercial associate,Married,House / apartment,Core staff,256500.0
5952003,Male,1,Working,Married,House / apartment,High skill tech staff,202500.0
5738035,Female,1,Working,Married,House / apartment,Core staff,202500.0
5792172,Female,1,Working,Married,House / apartment,Medicine staff,135000.0
6424552,Female,1,Working,Married,House / apartment,Core staff,157500.0
6107609,Female,1,Working,Married,House / apartment,Core staff,360000.0
5314876,Female,1,State servant,Married,House / apartment,Medicine staff,135000.0
6639843,Female,1,State servant,Married,House / apartment,Cooking staff,112500.0
6317841,Female,1,State servant,Married,House / apartment,High skill tech staff,243000.0
5010975,Male,1,Working,Married,House / apartment,Sales staff,126000.0
6636546,Female,1,Working,Married,House / apartment,Medicine staff,202500.0
6469264,Female,1,Working,Married,House / apartment,Core staff,315000.0
6803003,Female,1,Working,Civil marriage,House / apartment,Sales staff,112500.0
5833246,Female,1,Working,Married,Office apartment,Core staff,207000.0
5415592,Female,1,Working,Married,House / apartment,High skill tech staff,126000.0
6575352,Male,1,Commercial associate,Married,House / apartment,Sales staff,225000.0
6087087,Female,1,Commercial associate,Married,With parents,Core staff,202500.0
6519196,Female,1,Working,Married,House / apartment,Core staff,90000.0
6578057,Male,1,Commercial associate,Married,House / apartment,Security staff,112500.0
6087931,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,360000.0
5056007,Female,1,State servant,Single / not married,House / apartment,Core staff,202500.0
6486143,Male,1,Working,Single / not married,House / apartment,Medicine staff,270000.0
5743393,Male,1,State servant,Married,House / apartment,Core staff,225000.0
6591224,Female,1,Commercial associate,Separated,House / apartment,Core staff,360000.0
5889865,Male,1,State servant,Married,House / apartment,Core staff,207000.0
6144043,Female,1,Commercial associate,Separated,House / apartment,High skill tech staff,135000.0
6396980,Female,1,Working,Married,House / apartment,Medicine staff,157500.0
6737535,Female,1,State servant,Married,House / apartment,Core staff,225000.0
6624648,Male,1,Working,Single / not married,House / apartment,Sales staff,202500.0
5702259,Male,1,Commercial associate,Married,House / apartment,Sales staff,225000.0
5537744,Male,1,Commercial associate,Married,House / apartment,Core staff,405000.0
5626688,Female,1,Working,Married,House / apartment,Waiters/barmen staff,67500.0
6048367,Female,1,Working,Married,House / apartment,High skill tech staff,171000.0
6363309,Female,1,Working,Single / not married,House / apartment,HR staff,135000.0
5580957,Male,1,Working,Single / not married,House / apartment,IT staff,166500.0
6079799,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,292500.0
6134800,Male,1,Working,Married,House / apartment,Security staff,153000.0
5537427,Female,1,Working,Married,House / apartment,Sales staff,112500.0
6098521,Female,1,State servant,Married,House / apartment,Core staff,157500.0
5089506,Female,1,Working,Married,Rented apartment,Core staff,405000.0
6053518,Female,1,State servant,Married,House / apartment,Core staff,157500.0
7536655,Female,1,Commercial associate,Separated,House / apartment,Sales staff,292500.0
5709271,Female,1,State servant,Married,House / apartment,Medicine staff,292500.0
6263527,Male,1,Commercial associate,Married,Rented apartment,Cooking staff,270000.0
6723155,Male,1,Working,Married,Rented apartment,High skill tech staff,135000.0
6586789,Male,1,State servant,Married,House / apartment,Core staff,405000.0
6661345,Female,1,Working,Married,House / apartment,High skill tech staff,157500.0
5907383,Male,1,Working,Married,House / apartment,Cooking staff,270000.0
6139996,Female,1,Commercial associate,Married,House / apartment,Sales staff,180000.0
6836556,Female,1,Working,Married,House / apartment,Sales staff,270000.0
5932073,Female,1,State servant,Married,House / apartment,Core staff,117000.0
6272076,Male,1,State servant,Married,House / apartment,Core staff,157500.0
5354235,Female,1,State servant,Single / not married,House / apartment,High skill tech staff,135000.0
6590797,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,270000.0
6367452,Female,1,Commercial associate,Married,House / apartment,Sales staff,337500.0
6604905,Male,1,Working,Married,House / apartment,Sales staff,135000.0
6471954,Male,1,Commercial associate,Married,House / apartment,Core staff,157500.0
7212533,Female,1,Working,Single / not married,House / apartment,High skill tech staff,382500.0
5907025,Male,1,Working,Single / not married,House / apartment,Core staff,180000.0
5883153,Female,1,Working,Married,House / apartment,High skill tech staff,180000.0
6472423,Female,1,Working,Married,House / apartment,Sales staff,157500.0
6507948,Male,1,Working,Married,House / apartment,Security staff,225000.0
5089321,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,135000.0
6630459,Female,1,State servant,Single / not married,House / apartment,Core staff,247500.0
5772290,Female,1,Commercial associate,Single / not married,House / apartment,Core staff,292500.0
5279185,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,288000.0
6779723,Female,1,Working,Civil marriage,Rented apartment,Core staff,99000.0
5317879,Female,1,Commercial associate,Married,House / apartment,Sales staff,360000.0
6292308,Female,1,Working,Married,House / apartment,Medicine staff,202500.0
6472786,Male,1,Working,Married,House / apartment,Core staff,247500.0
6048369,Female,1,Working,Married,House / apartment,High skill tech staff,171000.0
5743554,Female,1,Working,Married,House / apartment,Core staff,112500.0
6077504,Male,1,State servant,Married,House / apartment,Core staff,162000.0
6830824,Male,1,Working,Married,House / apartment,High skill tech staff,225000.0
5927603,Female,1,Working,Married,House / apartment,Sales staff,382500.0
5113852,Male,1,Working,Civil marriage,House / apartment,Sales staff,90000.0
5680634,Female,1,Working,Married,House / apartment,Cooking staff,112500.0
6291275,Male,1,Commercial associate,Married,House / apartment,Sales staff,225000.0
6273453,Female,1,Working,Married,Municipal apartment,Sales staff,90000.0
6121779,Male,1,Working,Married,House / apartment,Sales staff,225000.0
5702396,Female,1,Working,Separated,House / apartment,Private service staff,90000.0
5861067,Female,1,State servant,Married,House / apartment,Medicine staff,540000.0
5791702,Male,1,Commercial associate,Married,House / apartment,Core staff,459000.0
5541407,Male,1,State servant,Married,House / apartment,Core staff,270000.0
5529424,Male,1,Commercial associate,Married,House / apartment,Core staff,450000.0
7106721,Female,1,Commercial associate,Married,House / apartment,Core staff,247500.0
6234850,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,301500.0
5598595,Female,1,State servant,Single / not married,House / apartment,Core staff,202500.0
6223662,Male,1,Working,Civil marriage,House / apartment,High skill tech staff,202500.0
6778697,Male,1,Commercial associate,Married,House / apartment,Sales staff,382500.0
5548354,Male,1,Commercial associate,Single / not married,House / apartment,Sales staff,382500.0
5242029,Female,1,Commercial associate,Married,House / apartment,Medicine staff,112500.0
6138708,Female,1,State servant,Married,House / apartment,Core staff,405000.0
5541409,Male,1,State servant,Married,House / apartment,Core staff,270000.0
5742903,Female,1,Commercial associate,Married,House / apartment,Core staff,225000.0
5022420,Female,1,Working,Married,With parents,High skill tech staff,157500.0
6133263,Female,1,Commercial associate,Married,With parents,Core staff,202500.0
5149189,Male,1,Working,Married,House / apartment,Core staff,450000.0
6209587,Male,1,Working,Married,House / apartment,Core staff,225000.0
6836343,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,360000.0
6611440,Female,1,Working,Single / not married,House / apartment,Core staff,135000.0
6292204,Female,1,Commercial associate,Civil marriage,House / apartment,High skill tech staff,180000.0
5061701,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,135000.0
6429824,Male,1,Commercial associate,Single / not married,With parents,Sales staff,315000.0
6163133,Female,1,State servant,Married,House / apartment,Core staff,180000.0
5943129,Female,1,Commercial associate,Married,House / apartment,Cooking staff,112500.0
5838233,Male,1,Working,Married,House / apartment,Core staff,225000.0
5090098,Male,1,Working,Single / not married,House / apartment,High skill tech staff,256500.0
5833240,Female,1,Working,Married,Office apartment,Core staff,207000.0
5235671,Female,1,Commercial associate,Civil marriage,House / apartment,Sales staff,405000.0
6800938,Male,1,Working,Married,House / apartment,High skill tech staff,135000.0
5833688,Female,1,Working,Married,House / apartment,Core staff,360000.0
5791961,Female,1,State servant,Married,House / apartment,Core staff,292500.0
5823881,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,225000.0
5626521,Male,1,Working,Married,House / apartment,High skill tech staff,193500.0
5022330,Male,1,Commercial associate,Married,House / apartment,Core staff,256500.0
6472419,Female,1,Working,Married,House / apartment,Sales staff,157500.0
6484819,Male,1,Working,Married,House / apartment,Sales staff,315000.0
6806858,Male,1,Working,Separated,With parents,High skill tech staff,135000.0
5010088,Female,1,Working,Single / not married,With parents,Sales staff,112500.0
5062683,Male,1,State servant,Married,Municipal apartment,High skill tech staff,247500.0
6507364,Female,1,Commercial associate,Married,House / apartment,Sales staff,126000.0
6372883,Male,1,Commercial associate,Civil marriage,House / apartment,High skill tech staff,315000.0
5918250,Female,1,Working,Married,House / apartment,Sales staff,112500.0
6653004,Female,1,State servant,Married,With parents,Core staff,225000.0
5957803,Female,1,Working,Married,House / apartment,Core staff,247500.0
6240840,Female,1,Commercial associate,Married,House / apartment,Private service staff,292500.0
5346005,Male,1,Working,Single / not married,House / apartment,High skill tech staff,180000.0
5627632,Female,1,Commercial associate,Single / not married,House / apartment,Core staff,180000.0
5731057,Female,1,Working,Married,House / apartment,Core staff,315000.0
6396986,Female,1,Working,Married,House / apartment,Medicine staff,157500.0
5028551,Female,1,Commercial associate,Married,House / apartment,Core staff,315000.0
5113407,Male,1,Commercial associate,Single / not married,House / apartment,Sales staff,450000.0
5884021,Female,1,State servant,Married,House / apartment,IT staff,143100.0
6158869,Female,1,Working,Married,With parents,Core staff,270000.0
5062542,Female,1,Commercial associate,Civil marriage,House / apartment,Medicine staff,135000.0
6046455,Female,1,Working,Married,House / apartment,Core staff,112500.0
6021561,Female,1,Working,Married,House / apartment,Medicine staff,360000.0
5317853,Female,1,State servant,Married,House / apartment,Core staff,234000.0
5529586,Male,1,Working,Single / not married,With parents,High skill tech staff,178650.0
5837236,Male,1,Commercial associate,Married,House / apartment,Sales staff,405000.0
5931782,Male,1,Commercial associate,Married,House / apartment,Cleaning staff,202500.0
6781858,Female,1,Working,Married,With parents,Security staff,90000.0
5702075,Female,1,Commercial associate,Separated,House / apartment,Core staff,211500.0
6391475,Male,1,Working,Married,House / apartment,High skill tech staff,450000.0
5166835,Female,1,Working,Married,House / apartment,Core staff,117000.0
6742708,Female,1,State servant,Single / not married,Rented apartment,Core staff,225000.0
5062403,Male,1,Commercial associate,Single / not married,House / apartment,High skill tech staff,202500.0
5529433,Male,1,Working,Married,Municipal apartment,Core staff,225000.0
7416083,Male,1,Working,Married,House / apartment,High skill tech staff,189000.0
5056006,Female,1,State servant,Single / not married,House / apartment,Core staff,202500.0
6264737,Female,1,Commercial associate,Married,With parents,Core staff,202500.0
5089316,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,135000.0
5707217,Female,1,Working,Married,House / apartment,Cooking staff,121500.0
6724213,Male,1,Commercial associate,Married,House / apartment,Sales staff,202500.0
5788759,Female,1,Commercial associate,Married,With parents,Sales staff,270000.0
5062687,Male,1,State servant,Married,Municipal apartment,High skill tech staff,247500.0
5760612,Female,1,Working,Married,House / apartment,Sales staff,630000.0
5010366,Female,1,Working,Separated,House / apartment,Medicine staff,157500.0
6630572,Female,1,Working,Married,House / apartment,Medicine staff,202500.0
5905303,Male,1,Working,Married,House / apartment,High skill tech staff,225000.0
6146943,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,270000.0
5892583,Male,1,Commercial associate,Married,House / apartment,Sales staff,189000.0
6622676,Female,1,Working,Married,House / apartment,Sales staff,202500.0
5627746,Male,1,Working,Married,House / apartment,Core staff,405000.0
5738584,Male,1,Working,Married,House / apartment,Core staff,315000.0
6803000,Female,1,Working,Civil marriage,House / apartment,Sales staff,112500.0
6693446,Female,1,Working,Single / not married,House / apartment,Core staff,135000.0
5853839,Male,1,Commercial associate,Married,House / apartment,Core staff,256500.0
5995826,Female,1,State servant,Married,House / apartment,HR staff,112500.0
5416192,Female,1,Commercial associate,Married,House / apartment,Sales staff,382500.0
6032241,Female,1,State servant,Single / not married,House / apartment,Core staff,202500.0
5957441,Male,1,Commercial associate,Single / not married,Rented apartment,Core staff,112500.0
6736708,Female,1,Commercial associate,Single / not married,With parents,Cooking staff,180000.0
5929924,Male,1,Working,Married,House / apartment,Core staff,418500.0
5680434,Female,1,Working,Married,House / apartment,Core staff,135000.0
5742343,Male,1,Working,Civil marriage,House / apartment,Core staff,90000.0
6211486,Female,1,Working,Civil marriage,House / apartment,Sales staff,180000.0
5113405,Male,1,Commercial associate,Single / not married,House / apartment,Sales staff,450000.0
5169175,Female,1,Commercial associate,Married,House / apartment,Core staff,67500.0
5091162,Female,1,Commercial associate,Married,House / apartment,Core staff,256500.0
6563767,Male,1,Working,Married,House / apartment,High skill tech staff,180000.0
6357419,Female,1,Commercial associate,Married,House / apartment,Core staff,108000.0
5883440,Female,1,Working,Civil marriage,Rented apartment,Medicine staff,112500.0
6698075,Female,1,Working,Married,House / apartment,Sales staff,171000.0
5627753,Male,1,Working,Married,House / apartment,Core staff,405000.0
6053719,Male,1,Commercial associate,Married,House / apartment,Sales staff,270000.0
6317835,Female,1,State servant,Married,House / apartment,High skill tech staff,243000.0
5928870,Female,1,Working,Married,House / apartment,Sales staff,135000.0
6576684,Female,1,Commercial associate,Married,House / apartment,Sales staff,382500.0
6209590,Male,1,Working,Married,House / apartment,Core staff,225000.0
5627725,Female,1,Working,Married,House / apartment,Core staff,270000.0
5189648,Male,1,Working,Single / not married,House / apartment,Sales staff,112500.0
6048430,Male,1,State servant,Married,With parents,Security staff,157500.0
6772902,Female,1,State servant,Civil marriage,Office apartment,Medicine staff,202500.0
5760613,Female,1,Working,Married,House / apartment,Sales staff,630000.0
5067571,Male,1,Commercial associate,Married,House / apartment,IT staff,180000.0
6415311,Female,1,Working,Married,House / apartment,Sales staff,193500.0
6014207,Female,1,Commercial associate,Married,House / apartment,Medicine staff,225000.0
5011010,Female,1,Working,Married,House / apartment,Sales staff,157500.0
5537419,Female,1,Working,Married,House / apartment,Sales staff,112500.0
6132915,Male,1,Commercial associate,Single / not married,House / apartment,Sales staff,292500.0
